family,task,flash_success,codex_success,codex_high_success,flash_execution_s,codex_execution_s,codex_high_execution_s
spatial,task_t0,7,7,7,34.36000000000001,343.7,567.62
spatial,task_t1,9,9,9,74.77,399.02,516.11
spatial,task_t2,10,9,10,34.89000000000001,322.17,310.28
spatial,task_t3,7,8,3,15.859999999999998,219.8,502.88
spatial,task_t4,5,8,10,138.41,496.98,449.86
spatial,task_t5,10,10,10,34.14,360.8,331.49
spatial,task_t6,10,10,10,84.01,326.0,499.33
spatial,task_t7,2,7,9,0.0,340.4,504.71999999999997
spatial,task_t8,9,9,10,40.86,291.0,407.78
spatial,task_t9,10,9,10,43.49,345.57,743.02
spatial,swap_t0,7,7,10,35.65999999999999,289.97,449.84
spatial,swap_t1,10,6,10,83.48,361.7,460.07
spatial,swap_t2,9,8,10,26.450000000000003,271.34,346.01
spatial,swap_t3,6,4,9,105.10000000000002,449.46999999999997,576.6
spatial,swap_t4,2,8,9,119.37999999999998,480.42,484.31
spatial,swap_t5,10,10,9,38.53,353.24,569.61
spatial,swap_t6,1,3,4,69.16,598.69,948.45
spatial,swap_t7,10,10,10,36.2,358.15,434.79
spatial,swap_t8,10,6,10,48.519999999999996,392.43,604.77
spatial,swap_t9,5,5,7,140.88,592.7,837.71
object,task_t0,10,10,10,37.78,268.62,338.26
object,task_t1,8,9,10,75.67,278.77,365.23
object,task_t2,4,10,10,25.69,256.74,409.56
object,task_t3,8,10,9,14.069999999999999,210.36,413.93
object,task_t4,8,9,8,31.22,337.57,681.86
object,task_t5,10,10,10,27.39,242.49,331.84
object,task_t6,8,9,8,18.959999999999997,278.86,648.5
object,task_t7,10,10,10,44.419999999999995,304.15,421.64
object,task_t8,10,8,10,30.59,261.71999999999997,285.24
object,task_t9,10,9,10,30.5,227.05,317.58
object,swap_t0,9,10,9,47.95,294.31,427.5
object,swap_t1,10,9,10,39.370000000000005,278.08,545.22
object,swap_t2,9,10,10,41.92999999999999,237.71,386.2
object,swap_t3,9,10,10,63.230000000000004,316.24,349.14
object,swap_t4,10,7,10,50.14000000000001,300.79,300.83
object,swap_t5,8,8,9,51.57,341.32,329.6
object,swap_t6,10,10,10,51.05,287.54,355.24
object,swap_t7,8,9,10,37.48,267.33,219.49
object,swap_t8,10,10,10,42.43000000000001,315.65000000000003,363.93
object,swap_t9,10,9,10,56.86,366.37,320.9
goal,task_t0,5,1,9,107.75,290.62,281.13
goal,task_t1,6,7,10,139.43,340.15,336.36
goal,task_t2,6,5,6,14.930000000000003,344.45,486.67
goal,task_t3,10,2,2,58.67000000000001,136.69,713.5699999999999
goal,task_t4,5,0,9,42.56999999999999,38.55,391.21000000000004
goal,task_t5,9,0,10,26.16,38.19,342.78
goal,task_t6,6,0,4,28.1,38.29,776.96
goal,task_t7,9,0,10,9.09,38.81,171.88
goal,task_t8,8,0,7,49.43000000000001,38.38,502.26
goal,task_t9,10,0,10,30.07,38.54,311.49
goal,swap_t0,0,0,2,,312.06,763.34
goal,swap_t1,2,5,6,135.67999999999998,518.64,686.47
goal,swap_t2,6,7,4,39.22,276.93,597.39
goal,swap_t3,9,6,9,78.07999999999998,360.66,407.03000000000003
goal,swap_t4,10,10,10,42.699999999999996,271.56,358.52
goal,swap_t5,4,0,3,53.65,827.54,1064.83
goal,swap_t6,10,9,6,41.48,290.25,625.38
goal,swap_t7,10,10,9,10.26,97.41,172.8
goal,swap_t8,9,9,6,25.75,244.49,203.59
goal,swap_t9,5,8,1,145.8,301.07,608.11
10,task_t0,10,6,10,57.03,430.32,526.4300000000001
10,task_t1,10,9,10,65.58,415.58,503.36
10,task_t2,0,0,10,44.14999999999999,591.93,938.31
10,task_t3,3,4,2,144.37,498.85,860.0
10,task_t4,1,5,2,243.58999999999997,532.97,1454.8
10,task_t5,8,2,10,7.949999999999999,349.52,347.14
10,task_t6,9,8,5,109.75999999999999,539.75,672.3
10,task_t7,9,4,9,102.73,494.89,563.42
10,task_t8,10,5,10,9.41,184.8,380.85
10,task_t9,0,0,0,0.0,539.17,1032.42
10,swap_t0,9,9,9,152.15,477.2,587.8199999999999
10,swap_t1,8,6,8,18.59,564.12,498.61
10,swap_t2,2,4,6,17.89,404.08,664.9
10,swap_t3,4,1,6,28.279999999999998,516.85,762.6
10,swap_t4,2,3,4,56.48,617.49,1005.39
10,swap_t5,10,4,7,7.809999999999999,367.84000000000003,402.29
10,swap_t6,8,5,7,16.22,535.1800000000001,682.34
10,swap_t7,10,7,10,87.10000000000001,587.32,493.84000000000003
10,swap_t8,1,0,1,110.77,417.83,1035.04
10,swap_t9,0,0,0,,359.17,767.69
