task,flash_success,codex_success,flash_execution_s,codex_execution_s
swap_t0,9,10,47.95,294.31
swap_t1,10,9,39.370000000000005,278.08
swap_t2,9,10,41.92999999999999,237.71000000000004
swap_t3,9,10,63.230000000000004,316.24
swap_t4,10,7,50.14000000000001,300.79
swap_t5,8,8,51.57,341.32
swap_t6,10,10,51.05,287.54
swap_t7,8,9,37.48,267.33000000000004
swap_t8,10,10,42.43000000000001,315.65
swap_t9,10,9,56.86,366.37
task_t0,10,10,37.78,268.62
task_t1,8,9,75.67,278.7699999999999
task_t2,4,10,25.69,256.74
task_t3,8,10,14.069999999999999,210.35999999999999
task_t4,8,9,31.22,337.57
task_t5,10,10,27.39,242.49
task_t6,8,9,18.959999999999997,278.86
task_t7,10,10,44.419999999999995,304.15
task_t8,10,8,30.59,261.71999999999997
task_t9,10,9,30.5,227.05
